Date,Open,High,Low,Close,Adj Close,Volume,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2001-07-20,392.255005,392.255005,392.255005,392.255005,275.853577,584009.0,6.0,9.4,261.0,22.4,15.8,10.0,2.2,101530.0,0.0
2001-07-23,370.760986,393.597992,365.388,373.984985,263.005219,3205437.0,3.0,13.5,311.0,23.2,19.2,13.0,0.0,101800.0,0.0
2001-07-24,374.52301,374.52301,356.252991,356.790985,250.913574,790321.0,5.0,12.6,299.0,26.3,17.9,12.6,0.0,101870.0,0.0
2001-07-25,349.268005,350.665009,333.14801,343.894989,241.84433,1381718.0,6.0,7.6,233.0,28.7,20.2,14.2,0.0,101910.0,0.0
2001-07-26,348.192993,348.192993,340.67099,344.968994,242.599701,1381718.0,1.0,12.8,300.0,29.3,21.2,13.8,0.0,101780.0,0.0
2001-07-27,345.324005,370.493011,344.162994,359.47699,252.80246,4392252.0,5.0,12.7,297.0,31.6,22.9,16.5,0.0,101760.0,0.0
2001-07-30,361.627014,368.612,360.015015,365.388,256.959351,675532.0,4.0,12.0,286.0,26.6,23.5,18.1,0.0,102280.0,0.0
2001-07-31,365.924988,369.256989,363.239014,368.075012,258.848999,411216.0,5.0,9.5,254.0,26.7,21.6,16.6,0.0,102340.0,0.0
2001-08-01,369.364014,373.984985,367.536987,371.835999,261.493958,638097.0,6.0,8.9,245.0,21.2,21.8,16.9,0.0,102410.0,0.0
2001-08-02,376.13501,390.105011,371.835999,382.583008,269.051758,638097.0,7.0,0.0,72.0,23.9,17.8,14.5,11.8,101170.0,0.0
2001-08-03,380.433014,385.807007,380.433014,382.583008,269.051758,264739.0,7.0,5.3,192.0,22.8,19.4,14.9,1.4,101020.0,0.0
2001-08-06,383.925995,383.925995,377.209015,379.359009,266.784485,573325.0,7.0,3.9,166.0,20.6,20.2,15.7,0.2,101020.0,0.0
2001-08-07,380.433014,381.507996,376.13501,376.13501,264.517181,796888.0,7.0,1.3,115.0,21.5,17.3,14.0,0.0,100480.0,0.0
2001-08-08,379.359009,386.881012,375.059998,386.881012,272.07431,698334.0,5.0,9.5,245.0,17.5,17.8,14.2,0.0,100340.0,0.0
2001-08-09,385.807007,390.105011,381.507996,390.105011,274.341705,1213264.0,6.0,2.9,146.0,20.5,14.8,12.0,12.0,101160.0,0.0
2001-08-10,392.255005,395.479004,389.031006,390.643005,274.71994,989064.0,3.0,11.0,261.0,21.9,15.0,9.4,0.0,102380.0,0.0
2001-08-13,395.479004,395.479004,389.031006,395.209991,277.93161,421188.0,6.0,4.1,164.0,27.4,21.6,17.0,0.0,101330.0,0.0
2001-08-14,394.673004,400.85199,394.673004,398.703003,280.388245,921409.0,6.0,10.4,249.0,30.1,22.2,17.0,0.0,101330.0,0.0
2001-08-15,400.207001,401.65799,391.179993,391.179993,275.097473,884901.0,4.0,9.1,232.0,23.9,24.4,18.7,0.2,101040.0,0.0
2001-08-16,397.627991,397.627991,392.255005,392.255005,275.853577,175931.0,5.0,9.5,235.0,23.4,20.4,16.8,0.4,101330.0,0.0
2001-08-17,393.652008,540.484009,392.255005,397.091003,279.254395,898045.0,4.0,12.0,263.0,25.4,18.1,12.8,0.0,101700.0,0.0
2001-08-20,406.010986,406.010986,392.255005,392.255005,275.853577,266084.0,4.0,10.8,245.0,24.2,18.3,13.9,0.0,101360.0,0.0
2001-08-21,390.105011,400.014008,390.105011,397.627991,279.632141,1270549.0,5.0,12.3,261.0,25.8,18.0,11.7,0.0,101800.0,0.0
2001-08-22,395.479004,400.85199,395.479004,397.627991,279.632141,1949560.0,5.0,12.0,256.0,24.1,20.5,15.2,0.0,102160.0,0.0
2001-08-23,400.315002,400.315002,395.479004,395.479004,278.120911,1705235.0,7.0,0.3,77.0,28.4,20.4,16.7,0.0,101930.0,0.0
2001-08-24,394.920013,396.553009,392.255005,395.479004,278.120911,845400.0,4.0,11.4,246.0,31.5,23.6,18.9,0.0,101630.0,0.0
2001-08-27,395.479004,395.479004,395.479004,395.479004,278.120911,0.0,5.0,12.9,257.0,22.1,17.3,12.6,0.0,102240.0,0.0
2001-08-28,396.230988,396.230988,392.255005,394.403992,277.364838,594466.0,4.0,11.7,243.0,23.4,17.2,12.2,0.0,102080.0,0.0
2001-08-29,392.255005,392.255005,382.851013,389.031006,273.586304,957408.0,6.0,7.4,192.0,20.0,17.0,10.6,0.4,101470.0,0.0
2001-08-30,386.881012,386.881012,381.507996,384.731995,270.56308,1266954.0,7.0,0.1,65.0,19.0,17.9,15.8,4.8,101040.0,0.0
2001-08-31,381.507996,385.807007,380.433014,385.807007,271.319031,1280746.0,6.0,5.2,161.0,20.8,15.1,11.2,4.8,101230.0,0.0
